Type of thread,Thread Id,Number of Operations,LHT Time,Lock Opportunity
find,0,63134,5310.252,5310.683
find,0,64618,5310.72,5290.977
find,0,64197,5311.29,5304.748
find,1,64208,5313.502,5303.575
find,1,64119,5310.697,5275.738
find,1,63853,5313.708,5302.609
find,2,61982,5312.415,5289.598
find,2,63355,5308.89,5313.698
find,2,62216,5309.38,5301.571
find,3,69744,5308.622,5304.212
find,3,70288,5312.344,5317.871
find,3,70858,5313.308,5318.654
insert,0,8458565,2194.073,5361.145
insert,1,8637047,1984.449,5360.368
insert,2,7939240,2162.57,5354.33
insert,3,9577000,1840.0,5346.372
insert,4,8622104,2244.239,5343.201
insert,4,7503854,2579.541,5351.549
insert,4,7688469,2396.337,5356.184
insert,4,8322614,2239.206,5370.828
insert,5,8827597,1798.87,5364.737
insert,5,7620889,2490.278,5358.146
insert,5,8526299,2142.303,5364.387
insert,5,8560311,2107.321,5366.006
insert,6,7962356,2294.961,5354.588
insert,6,8706504,2024.657,5348.344
insert,6,7712980,2220.639,5363.604
insert,6,8260332,2157.197,5365.905
insert,7,7600443,2318.032,5351.87
insert,7,8585701,2160.345,5357.55
insert,7,9264110,1916.211,5347.187
insert,7,8019950,2347.896,5346.91
