Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,8760894,0,4.255,3360.121
find,1,8756345,0,0.719,3365.671
find,2,66940,0,0.641,4962.074
find,3,8689569,0,2.816,3379.973
find,3,8670443,0,0.985,3386.336
find,3,518056,0,0.82,4881.353
insert,0,12808561,12808561,0.062,444.556
insert,0,12788278,12788278,0.069,441.637
insert,0,12815931,12815931,0.08,443.11
insert,1,12814204,12814204,0.058,441.98
insert,1,11434367,11434367,0.053,411.551
insert,1,12831824,12831824,0.055,442.375
insert,2,12773612,12773612,0.14,442.524
insert,2,12803820,12803820,0.054,442.689
insert,2,12762047,12762047,0.055,441.891
insert,3,13483516,13483516,0.052,466.863
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,8760894,0,4.255,3360.121
find,1,8756345,0,0.719,3365.671
find,2,66940,0,0.641,4962.074
find,3,8689569,0,2.816,3379.973
find,3,8670443,0,0.985,3386.336
find,3,518056,0,0.82,4881.353
insert,0,12808561,12808561,0.062,444.556
insert,0,12788278,12788278,0.069,441.637
insert,0,12815931,12815931,0.08,443.11
insert,1,12814204,12814204,0.058,441.98
insert,1,11434367,11434367,0.053,411.551
insert,1,12831824,12831824,0.055,442.375
insert,2,12773612,12773612,0.14,442.524
insert,2,12803820,12803820,0.054,442.689
insert,2,12762047,12762047,0.055,441.891
insert,3,13483516,13483516,0.052,466.863
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,8760894,0,4.255,3360.121
find,1,8756345,0,0.719,3365.671
find,2,66940,0,0.641,4962.074
find,3,8689569,0,2.816,3379.973
find,3,8670443,0,0.985,3386.336
find,3,518056,0,0.82,4881.353
insert,0,12808561,12808561,0.062,444.556
insert,0,12788278,12788278,0.069,441.637
insert,0,12815931,12815931,0.08,443.11
insert,1,12814204,12814204,0.058,441.98
insert,1,11434367,11434367,0.053,411.551
insert,1,12831824,12831824,0.055,442.375
insert,2,12773612,12773612,0.14,442.524
insert,2,12803820,12803820,0.054,442.689
insert,2,12762047,12762047,0.055,441.891
insert,3,13483516,13483516,0.052,466.863
