Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,13140213,0,0.309,4223.272
find,0,12541503,0,3.263,4021.922
find,1,10464192,0,0.3,4732.255
find,1,13132823,0,5.077,4235.498
find,2,10477161,0,5.354,4714.839
find,2,13117359,0,5.476,4223.715
insert,0,17094427,17094427,0.053,590.141
insert,0,17007872,17007872,0.056,588.456
insert,1,17060513,17060513,0.052,590.125
insert,1,17122936,17122936,0.027,590.278
insert,2,17069813,17069813,0.053,590.045
insert,2,17092166,17092166,0.052,591.118
