Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
insert,0,53265849,11220.375,11220.375,10791.0
insert,0,53217674,11210.684,11210.684,10790.0
insert,0,52751575,11298.033,11298.033,10791.0
insert,0,53256536,11210.789,11210.789,10791.0
