Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,6955120,0,4.996,3772.621
find,0,8722595,0,0.469,3350.618
find,0,7419645,0,0.448,3605.861
find,1,8768732,0,0.848,3354.607
find,1,8751420,0,0.299,3350.284
find,1,8759215,0,3.851,3349.362
find,2,8738331,0,0.349,3347.213
find,2,8723959,0,0.227,3352.05
find,2,4274942,0,2.067,4475.734
find,3,8686858,0,0.251,3354.927
insert,0,12784250,12784250,0.052,442.397
insert,1,12743164,12743164,0.072,440.477
insert,2,12765909,12765909,0.051,440.766
insert,3,12771019,12771019,0.057,440.817
insert,3,12738287,12738287,0.047,440.707
insert,3,12757500,12757500,0.058,441.064
