Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,7159034,0,1.47,5315.521
find,0,13051463,0,0.286,4229.695
find,0,13161233,0,0.214,4211.18
find,1,13097808,0,0.461,4206.372
find,1,130174,0,4.231,6616.494
find,1,65604,0,5.763,6622.15
find,2,173386,0,0.139,6608.788
find,2,169304,0,0.208,6608.892
find,2,173454,0,0.138,6610.461
insert,0,9762787,9762787,0.068,421.268
insert,1,17041827,17041827,0.063,589.686
insert,2,17052232,17052232,0.029,589.03
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,7159034,0,1.47,5315.521
find,0,13051463,0,0.286,4229.695
find,0,13161233,0,0.214,4211.18
find,1,13097808,0,0.461,4206.372
find,1,130174,0,4.231,6616.494
find,1,65604,0,5.763,6622.15
find,2,173386,0,0.139,6608.788
find,2,169304,0,0.208,6608.892
find,2,173454,0,0.138,6610.461
insert,0,9762787,9762787,0.068,421.268
insert,1,17041827,17041827,0.063,589.686
insert,2,17052232,17052232,0.029,589.03
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,7159034,0,1.47,5315.521
find,0,13051463,0,0.286,4229.695
find,0,13161233,0,0.214,4211.18
find,1,13097808,0,0.461,4206.372
find,1,130174,0,4.231,6616.494
find,1,65604,0,5.763,6622.15
find,2,173386,0,0.139,6608.788
find,2,169304,0,0.208,6608.892
find,2,173454,0,0.138,6610.461
insert,0,9762787,9762787,0.068,421.268
insert,1,17041827,17041827,0.063,589.686
insert,2,17052232,17052232,0.029,589.03
