Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,8965723,0,5.168,8721.948
find,1,24468172,0,0.06,5424.78
insert,0,25545545,25545545,0.05,883.262
insert,0,25520514,25520514,0.063,882.748
insert,0,25472271,25472271,0.057,881.004
insert,1,25500287,25500287,0.059,880.691
insert,1,25467272,25467272,0.434,882.329
insert,1,25520926,25520926,0.058,881.68
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,8965723,0,5.168,8721.948
find,1,24468172,0,0.06,5424.78
insert,0,25545545,25545545,0.05,883.262
insert,0,25520514,25520514,0.063,882.748
insert,0,25472271,25472271,0.057,881.004
insert,1,25500287,25500287,0.059,880.691
insert,1,25467272,25467272,0.434,882.329
insert,1,25520926,25520926,0.058,881.68
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,8965723,0,5.168,8721.948
find,1,24468172,0,0.06,5424.78
insert,0,25545545,25545545,0.05,883.262
insert,0,25520514,25520514,0.063,882.748
insert,0,25472271,25472271,0.057,881.004
insert,1,25500287,25500287,0.059,880.691
insert,1,25467272,25467272,0.434,882.329
insert,1,25520926,25520926,0.058,881.68
