Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,2562645,0,5.102,4600.094
find,1,8761006,0,5.02,3370.004
find,2,3787652,0,5.167,4279.007
find,3,4066312,0,5.247,4223.688
find,3,7408510,0,7.548,3609.447
insert,0,12802590,12802590,0.053,442.301
insert,0,12789116,12789116,0.051,443.106
insert,0,12783721,12783721,0.054,441.891
insert,1,12845159,12845159,0.055,442.949
insert,1,12800764,12800764,0.055,441.957
insert,1,12801105,12801105,0.047,442.356
insert,2,13466291,13466291,0.143,466.729
insert,2,12766780,12766780,0.051,442.802
insert,2,12779377,12779377,0.044,441.799
insert,3,12770943,12770943,0.043,442.757
insert,3,12775672,12775672,0.45,442.296
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,2562645,0,5.102,4600.094
find,1,8761006,0,5.02,3370.004
find,2,3787652,0,5.167,4279.007
find,3,4066312,0,5.247,4223.688
find,3,7408510,0,7.548,3609.447
insert,0,12802590,12802590,0.053,442.301
insert,0,12789116,12789116,0.051,443.106
insert,0,12783721,12783721,0.054,441.891
insert,1,12845159,12845159,0.055,442.949
insert,1,12800764,12800764,0.055,441.957
insert,1,12801105,12801105,0.047,442.356
insert,2,13466291,13466291,0.143,466.729
insert,2,12766780,12766780,0.051,442.802
insert,2,12779377,12779377,0.044,441.799
insert,3,12770943,12770943,0.043,442.757
insert,3,12775672,12775672,0.45,442.296
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,2562645,0,5.102,4600.094
find,1,8761006,0,5.02,3370.004
find,2,3787652,0,5.167,4279.007
find,3,4066312,0,5.247,4223.688
find,3,7408510,0,7.548,3609.447
insert,0,12802590,12802590,0.053,442.301
insert,0,12789116,12789116,0.051,443.106
insert,0,12783721,12783721,0.054,441.891
insert,1,12845159,12845159,0.055,442.949
insert,1,12800764,12800764,0.055,441.957
insert,1,12801105,12801105,0.047,442.356
insert,2,13466291,13466291,0.143,466.729
insert,2,12766780,12766780,0.051,442.802
insert,2,12779377,12779377,0.044,441.799
insert,3,12770943,12770943,0.043,442.757
insert,3,12775672,12775672,0.45,442.296
