Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,3500692,0,1.616,9382.569
find,0,10905273,0,5.027,8022.896
find,1,24199205,0,0.46,5493.115
find,1,24466238,0,5.957,5468.951
find,1,68661,0,0.475,9945.264
insert,0,25616273,25616273,0.047,883.832
insert,0,25509724,25509724,0.061,882.626
insert,1,25541453,25541453,0.028,879.71
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,3500692,0,1.616,9382.569
find,0,10905273,0,5.027,8022.896
find,1,24199205,0,0.46,5493.115
find,1,24466238,0,5.957,5468.951
find,1,68661,0,0.475,9945.264
insert,0,25616273,25616273,0.047,883.832
insert,0,25509724,25509724,0.061,882.626
insert,1,25541453,25541453,0.028,879.71
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,3500692,0,1.616,9382.569
find,0,10905273,0,5.027,8022.896
find,1,24199205,0,0.46,5493.115
find,1,24466238,0,5.957,5468.951
find,1,68661,0,0.475,9945.264
insert,0,25616273,25616273,0.047,883.832
insert,0,25509724,25509724,0.061,882.626
insert,1,25541453,25541453,0.028,879.71
