Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,11321753,0,1.122,3215.09
find,0,117749,0,7.539,5279.583
find,0,11376107,0,0.076,3218.379
find,0,11358819,0,0.052,3206.434
find,1,72435,0,1.037,5292.623
find,1,75233,0,0.177,5290.364
find,1,11267078,0,0.409,3224.258
find,1,11359391,0,0.492,3216.291
find,1,11191036,0,0.484,3246.453
find,1,10767655,0,0.506,3171.492
insert,0,13576954,13576954,0.064,474.059
insert,0,13579900,13579900,0.064,472.615
insert,0,13541515,13541515,0.053,463.889
insert,0,13541832,13541832,4.581,478.496
insert,1,13525693,13525693,0.045,463.156
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,11321753,0,1.122,3215.09
find,0,117749,0,7.539,5279.583
find,0,11376107,0,0.076,3218.379
find,0,11358819,0,0.052,3206.434
find,1,72435,0,1.037,5292.623
find,1,75233,0,0.177,5290.364
find,1,11267078,0,0.409,3224.258
find,1,11359391,0,0.492,3216.291
find,1,11191036,0,0.484,3246.453
find,1,10767655,0,0.506,3171.492
insert,0,13576954,13576954,0.064,474.059
insert,0,13579900,13579900,0.064,472.615
insert,0,13541515,13541515,0.053,463.889
insert,0,13541832,13541832,4.581,478.496
insert,1,13525693,13525693,0.045,463.156
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,11321753,0,1.122,3215.09
find,0,117749,0,7.539,5279.583
find,0,11376107,0,0.076,3218.379
find,0,11358819,0,0.052,3206.434
find,1,72435,0,1.037,5292.623
find,1,75233,0,0.177,5290.364
find,1,11267078,0,0.409,3224.258
find,1,11359391,0,0.492,3216.291
find,1,11191036,0,0.484,3246.453
find,1,10767655,0,0.506,3171.492
insert,0,13576954,13576954,0.064,474.059
insert,0,13579900,13579900,0.064,472.615
insert,0,13541515,13541515,0.053,463.889
insert,0,13541832,13541832,4.581,478.496
insert,1,13525693,13525693,0.045,463.156
