Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,13197942,0,0.225,4203.796
find,0,12521163,0,0.864,3997.354
find,1,13075772,0,0.76,4207.501
find,1,98799,0,4.923,6619.078
find,2,4788820,0,0.592,6045.523
find,2,13080456,0,0.489,4203.966
find,2,13123318,0,0.735,4198.168
insert,0,16936606,16936606,0.063,586.393
insert,0,16979944,16979944,1.203,588.068
insert,1,17018508,17018508,0.049,588.851
insert,1,16672507,16672507,0.038,575.834
insert,2,17016665,17016665,0.056,588.711
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,13197942,0,0.225,4203.796
find,0,12521163,0,0.864,3997.354
find,1,13075772,0,0.76,4207.501
find,1,98799,0,4.923,6619.078
find,2,4788820,0,0.592,6045.523
find,2,13080456,0,0.489,4203.966
find,2,13123318,0,0.735,4198.168
insert,0,16936606,16936606,0.063,586.393
insert,0,16979944,16979944,1.203,588.068
insert,1,17018508,17018508,0.049,588.851
insert,1,16672507,16672507,0.038,575.834
insert,2,17016665,17016665,0.056,588.711
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,13197942,0,0.225,4203.796
find,0,12521163,0,0.864,3997.354
find,1,13075772,0,0.76,4207.501
find,1,98799,0,4.923,6619.078
find,2,4788820,0,0.592,6045.523
find,2,13080456,0,0.489,4203.966
find,2,13123318,0,0.735,4198.168
insert,0,16936606,16936606,0.063,586.393
insert,0,16979944,16979944,1.203,588.068
insert,1,17018508,17018508,0.049,588.851
insert,1,16672507,16672507,0.038,575.834
insert,2,17016665,17016665,0.056,588.711
