Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,5299666,0,5.647,4009.307
find,0,8691700,0,0.561,3388.835
find,0,6414480,0,2.218,3801.081
find,1,6035411,0,4.623,3873.074
find,1,8768078,0,0.636,3375.305
find,1,8778356,0,3.933,3377.956
find,2,8755634,0,0.35,3376.201
find,2,8785522,0,0.265,3367.357
find,2,8799016,0,0.266,3369.115
find,3,8783601,0,0.044,3368.493
find,3,8777011,0,0.046,3362.083
find,3,8766698,0,0.053,3374.879
insert,0,12816046,12816046,0.055,443.533
insert,1,12812121,12812121,0.079,443.739
insert,2,12815077,12815077,0.052,441.639
insert,3,12831484,12831484,0.049,443.167
