Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,12262698,0,1.953,4394.401
find,0,2152593,0,4.827,7741.483
find,0,1304808,0,2.619,9792.438
find,1,23265039,0,0.128,5655.392
find,1,23270060,0,0.214,5663.504
insert,0,25511876,25511876,0.056,882.246
insert,1,21615470,21615470,0.088,746.265
insert,1,18024204,18024204,0.028,621.634
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,12262698,0,1.953,4394.401
find,0,2152593,0,4.827,7741.483
find,0,1304808,0,2.619,9792.438
find,1,23265039,0,0.128,5655.392
find,1,23270060,0,0.214,5663.504
insert,0,25511876,25511876,0.056,882.246
insert,1,21615470,21615470,0.088,746.265
insert,1,18024204,18024204,0.028,621.634
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,12262698,0,1.953,4394.401
find,0,2152593,0,4.827,7741.483
find,0,1304808,0,2.619,9792.438
find,1,23265039,0,0.128,5655.392
find,1,23270060,0,0.214,5663.504
insert,0,25511876,25511876,0.056,882.246
insert,1,21615470,21615470,0.088,746.265
insert,1,18024204,18024204,0.028,621.634
