Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,14086012,0,4.617,3086.141
find,1,14166188,0,0.047,3076.073
find,1,14162251,0,0.056,3085.749
find,1,14139734,0,0.137,3075.193
find,1,77130,0,6.252,5672.656
find,1,14130262,0,0.051,3093.68
find,1,12096751,0,7.209,3455.683
insert,0,14503779,14503779,0.056,507.793
insert,0,14510037,14510037,0.054,507.156
insert,0,14552059,14552059,0.054,504.261
insert,0,14508756,14508756,0.051,496.858
insert,0,14522622,14522622,0.053,507.245
insert,0,14516549,14516549,0.055,497.459
insert,1,14518126,14518126,0.051,507.764
