Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,13087867,0,0.206,4218.858
find,1,9826664,0,0.309,4859.405
find,2,11827280,0,7.934,4462.919
find,2,13110935,0,5.081,4226.27
find,2,10460362,0,4.517,4713.289
insert,0,17090647,17090647,0.056,591.323
insert,0,17112035,17112035,0.065,591.404
insert,0,17096266,17096266,0.059,591.051
insert,1,17155190,17155190,0.053,592.766
insert,1,17088930,17088930,0.05,590.594
insert,1,17109742,17109742,0.056,590.995
insert,2,17082101,17082101,0.066,590.584
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,13087867,0,0.206,4218.858
find,1,9826664,0,0.309,4859.405
find,2,11827280,0,7.934,4462.919
find,2,13110935,0,5.081,4226.27
find,2,10460362,0,4.517,4713.289
insert,0,17090647,17090647,0.056,591.323
insert,0,17112035,17112035,0.065,591.404
insert,0,17096266,17096266,0.059,591.051
insert,1,17155190,17155190,0.053,592.766
insert,1,17088930,17088930,0.05,590.594
insert,1,17109742,17109742,0.056,590.995
insert,2,17082101,17082101,0.066,590.584
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,13087867,0,0.206,4218.858
find,1,9826664,0,0.309,4859.405
find,2,11827280,0,7.934,4462.919
find,2,13110935,0,5.081,4226.27
find,2,10460362,0,4.517,4713.289
insert,0,17090647,17090647,0.056,591.323
insert,0,17112035,17112035,0.065,591.404
insert,0,17096266,17096266,0.059,591.051
insert,1,17155190,17155190,0.053,592.766
insert,1,17088930,17088930,0.05,590.594
insert,1,17109742,17109742,0.056,590.995
insert,2,17082101,17082101,0.066,590.584
