Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,24309623,0,4.846,5520.332
find,0,24399224,0,0.3,5490.771
find,0,12513635,0,4.383,3522.348
find,1,21769892,0,0.101,5279.57
insert,0,25647778,25647778,0.093,887.178
insert,1,24019216,24019216,0.04,827.803
insert,1,25678071,25678071,0.112,885.655
insert,1,25638963,25638963,0.045,885.068
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,24309623,0,4.846,5520.332
find,0,24399224,0,0.3,5490.771
find,0,12513635,0,4.383,3522.348
find,1,21769892,0,0.101,5279.57
insert,0,25647778,25647778,0.093,887.178
insert,1,24019216,24019216,0.04,827.803
insert,1,25678071,25678071,0.112,885.655
insert,1,25638963,25638963,0.045,885.068
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,24309623,0,4.846,5520.332
find,0,24399224,0,0.3,5490.771
find,0,12513635,0,4.383,3522.348
find,1,21769892,0,0.101,5279.57
insert,0,25647778,25647778,0.093,887.178
insert,1,24019216,24019216,0.04,827.803
insert,1,25678071,25678071,0.112,885.655
insert,1,25638963,25638963,0.045,885.068
