Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,49126,1.486,6275.276,6187.0
find,0,52463,3.088,6274.7,6200.0
find,0,51429,1.504,6275.813,6196.0
find,1,166389,0.622,6267.28,6343.0
insert,0,28517841,2.74,3244.695,6340.0
insert,1,28555772,0.081,3238.39,6372.0
insert,1,28550612,0.055,3235.679,6337.0
insert,1,28558003,2.957,3245.362,6336.0
