Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,13165200,0,0.371,4215.128
find,0,13162132,0,0.053,4207.076
find,1,7437244,0,5.5,5380.137
find,1,13151092,0,1.159,4214.447
find,2,2504076,0,5.264,6170.125
insert,0,17068047,17068047,0.089,591.255
insert,0,17129289,17129289,6.2,598.163
insert,1,17087516,17087516,0.048,589.892
insert,1,17065996,17065996,4.803,594.31
insert,2,17077233,17077233,0.054,589.924
insert,2,17092546,17092546,0.028,590.819
insert,2,17060470,17060470,0.058,589.903
