Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,24488663,0,5.046,5479.247
find,0,24653037,0,0.177,5452.947
find,1,112173,0,1.896,9938.504
insert,0,25677892,25677892,0.05,887.357
insert,0,25680128,25680128,0.06,887.773
insert,1,25715584,25715584,0.068,886.717
insert,1,25690185,25690185,4.928,891.309
insert,1,25637248,25637248,0.06,885.527
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,24488663,0,5.046,5479.247
find,0,24653037,0,0.177,5452.947
find,1,112173,0,1.896,9938.504
insert,0,25677892,25677892,0.05,887.357
insert,0,25680128,25680128,0.06,887.773
insert,1,25715584,25715584,0.068,886.717
insert,1,25690185,25690185,4.928,891.309
insert,1,25637248,25637248,0.06,885.527
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,24488663,0,5.046,5479.247
find,0,24653037,0,0.177,5452.947
find,1,112173,0,1.896,9938.504
insert,0,25677892,25677892,0.05,887.357
insert,0,25680128,25680128,0.06,887.773
insert,1,25715584,25715584,0.068,886.717
insert,1,25690185,25690185,4.928,891.309
insert,1,25637248,25637248,0.06,885.527
