Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,4882724,0,2.091,3866.65
find,0,13148773,0,0.31,4208.876
find,0,13179650,0,0.087,4202.263
find,1,9665338,0,2.058,4841.267
find,1,13121744,0,4.949,4214.317
find,1,13136219,0,0.262,4206.986
find,2,90593,0,0.238,6616.926
find,2,13085694,0,0.39,4211.585
insert,0,16926946,16926946,0.028,586.264
insert,1,17030388,17030388,0.022,587.625
insert,2,16965415,16965415,0.049,586.077
insert,2,16796043,16796043,0.052,581.329
