Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,8156610,0,4.793,5127.662
find,0,8092634,0,2.561,4021.482
find,0,8199286,0,0.396,5149.548
find,1,12809547,0,0.416,4260.101
find,1,13131871,0,0.443,4200.887
find,1,13128376,0,0.433,4198.943
find,2,6108103,0,5.057,5484.541
insert,0,17042564,17042564,0.053,589.562
insert,1,17048303,17048303,0.044,589.179
insert,2,17029447,17029447,0.052,588.04
insert,2,17011081,17011081,1.035,589.329
insert,2,17015926,17015926,0.057,587.996
