Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,44024291,0,5.151,3361.6
insert,0,29080829,29080829,0.03,998.882
insert,0,28951501,28951501,0.057,998.829
insert,0,29002356,29002356,0.096,1006.785
insert,0,29002496,29002496,0.068,999.339
insert,0,29033412,29033412,0.053,997.295
insert,0,28982221,28982221,5.077,1011.994
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,44024291,0,5.151,3361.6
insert,0,29080829,29080829,0.03,998.882
insert,0,28951501,28951501,0.057,998.829
insert,0,29002356,29002356,0.096,1006.785
insert,0,29002496,29002496,0.068,999.339
insert,0,29033412,29033412,0.053,997.295
insert,0,28982221,28982221,5.077,1011.994
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,44024291,0,5.151,3361.6
insert,0,29080829,29080829,0.03,998.882
insert,0,28951501,28951501,0.057,998.829
insert,0,29002356,29002356,0.096,1006.785
insert,0,29002496,29002496,0.068,999.339
insert,0,29033412,29033412,0.053,997.295
insert,0,28982221,28982221,5.077,1011.994
