Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,1,8751174,0.156,9075.021,5396.0
insert,0,26583526,0.087,770.632,5396.0
insert,0,26567232,0.11,771.109,5396.0
insert,0,26588025,0.052,771.592,5396.0
insert,0,26555631,0.594,772.408,5397.0
insert,1,26641739,0.061,772.2,5396.0
insert,1,26591274,0.058,771.479,5396.0
insert,1,26613588,0.052,771.743,5396.0
