Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,4453035,0,2.168,2114.261
find,1,8796413,0,0.547,3367.935
find,2,8808370,0,5.018,3378.436
find,3,4639856,0,0.962,4127.613
insert,0,12817875,12817875,0.089,443.457
insert,0,12809372,12809372,0.055,441.934
insert,0,12852859,12852859,0.056,444.951
insert,1,12814332,12814332,0.056,443.164
insert,1,11933356,11933356,0.027,411.529
insert,1,12802434,12802434,0.057,442.107
insert,2,12714720,12714720,0.059,440.262
insert,2,6611855,6611855,0.08,299.459
insert,2,12799416,12799416,0.054,442.537
insert,3,12821234,12821234,0.053,442.427
insert,3,13489441,13489441,0.053,467.127
insert,3,12780960,12780960,0.072,442.156
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,4453035,0,2.168,2114.261
find,1,8796413,0,0.547,3367.935
find,2,8808370,0,5.018,3378.436
find,3,4639856,0,0.962,4127.613
insert,0,12817875,12817875,0.089,443.457
insert,0,12809372,12809372,0.055,441.934
insert,0,12852859,12852859,0.056,444.951
insert,1,12814332,12814332,0.056,443.164
insert,1,11933356,11933356,0.027,411.529
insert,1,12802434,12802434,0.057,442.107
insert,2,12714720,12714720,0.059,440.262
insert,2,6611855,6611855,0.08,299.459
insert,2,12799416,12799416,0.054,442.537
insert,3,12821234,12821234,0.053,442.427
insert,3,13489441,13489441,0.053,467.127
insert,3,12780960,12780960,0.072,442.156
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,4453035,0,2.168,2114.261
find,1,8796413,0,0.547,3367.935
find,2,8808370,0,5.018,3378.436
find,3,4639856,0,0.962,4127.613
insert,0,12817875,12817875,0.089,443.457
insert,0,12809372,12809372,0.055,441.934
insert,0,12852859,12852859,0.056,444.951
insert,1,12814332,12814332,0.056,443.164
insert,1,11933356,11933356,0.027,411.529
insert,1,12802434,12802434,0.057,442.107
insert,2,12714720,12714720,0.059,440.262
insert,2,6611855,6611855,0.08,299.459
insert,2,12799416,12799416,0.054,442.537
insert,3,12821234,12821234,0.053,442.427
insert,3,13489441,13489441,0.053,467.127
insert,3,12780960,12780960,0.072,442.156
