Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,8773425,0,0.249,3358.726
find,0,8795736,0,0.39,3349.294
find,1,8795998,0,5.051,3376.761
find,1,8785074,0,5.006,3373.43
find,2,66812,0,5.42,4966.067
find,2,8713956,0,0.395,3378.219
find,3,8760198,0,0.463,3365.788
find,3,8725872,0,0.476,3378.456
find,3,5231474,0,4.034,4019.546
insert,0,12832944,12832944,0.036,442.79
insert,0,12832246,12832246,4.961,449.559
insert,1,12864498,12864498,0.022,443.152
insert,1,12838112,12838112,0.051,443.602
insert,2,12820983,12820983,0.034,443.101
insert,2,12831672,12831672,0.061,443.594
insert,3,12843515,12843515,0.052,444.108
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,8773425,0,0.249,3358.726
find,0,8795736,0,0.39,3349.294
find,1,8795998,0,5.051,3376.761
find,1,8785074,0,5.006,3373.43
find,2,66812,0,5.42,4966.067
find,2,8713956,0,0.395,3378.219
find,3,8760198,0,0.463,3365.788
find,3,8725872,0,0.476,3378.456
find,3,5231474,0,4.034,4019.546
insert,0,12832944,12832944,0.036,442.79
insert,0,12832246,12832246,4.961,449.559
insert,1,12864498,12864498,0.022,443.152
insert,1,12838112,12838112,0.051,443.602
insert,2,12820983,12820983,0.034,443.101
insert,2,12831672,12831672,0.061,443.594
insert,3,12843515,12843515,0.052,444.108
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,8773425,0,0.249,3358.726
find,0,8795736,0,0.39,3349.294
find,1,8795998,0,5.051,3376.761
find,1,8785074,0,5.006,3373.43
find,2,66812,0,5.42,4966.067
find,2,8713956,0,0.395,3378.219
find,3,8760198,0,0.463,3365.788
find,3,8725872,0,0.476,3378.456
find,3,5231474,0,4.034,4019.546
insert,0,12832944,12832944,0.036,442.79
insert,0,12832246,12832246,4.961,449.559
insert,1,12864498,12864498,0.022,443.152
insert,1,12838112,12838112,0.051,443.602
insert,2,12820983,12820983,0.034,443.101
insert,2,12831672,12831672,0.061,443.594
insert,3,12843515,12843515,0.052,444.108
