Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,13201030,0,0.658,4215.577
find,1,6040486,0,7.047,2953.715
find,2,13111607,0,0.549,4230.318
find,2,13176146,0,0.834,4217.895
insert,0,17109900,17109900,0.095,591.525
insert,0,17122389,17122389,0.064,591.836
insert,0,17101443,17101443,0.085,591.001
insert,1,17092542,17092542,0.054,590.112
insert,1,17082078,17082078,0.061,590.079
insert,1,17095806,17095806,0.057,590.799
insert,2,17089782,17089782,0.052,590.975
insert,2,16305017,16305017,0.049,562.903
