Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,1790762,0,0.202,4015.116
find,0,8698049,0,5.022,3353.961
find,1,5154075,0,0.813,4062.795
find,1,8034935,0,0.601,3480.008
find,2,5378527,0,0.951,4052.905
find,2,4060369,0,5.98,4538.384
find,3,7593225,0,0.489,3440.784
insert,0,12742126,12742126,0.046,439.654
insert,0,12738112,12738112,0.089,441.88
insert,1,11730007,11730007,1.458,406.198
insert,1,12706025,12706025,0.05,438.928
insert,2,12701516,12701516,0.055,439.082
insert,2,12712771,12712771,0.033,439.691
insert,3,12703100,12703100,0.026,439.557
insert,3,12737762,12737762,0.029,439.662
insert,3,13409590,13409590,0.048,463.56
