Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,141,545.372,11047.562,105.0
find,0,185,604.721,11112.857,104.0
find,0,155,570.535,11570.904,106.0
find,0,159,575.551,11555.803,106.0
find,1,202798,0.763,10608.56,5384.0
find,1,201239,0.881,10612.256,5386.0
insert,1,29849593,0.06,764.417,5389.0
insert,1,27765243,0.084,767.214,5389.0
