Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,75297,0,6.742,4966.17
find,0,69401,0,5.661,4962.73
find,1,8762649,0,1.849,3370.869
find,1,8724012,0,4.973,3378.13
find,2,8628266,0,2.941,3390.645
find,2,6034952,0,4.764,3871.152
find,3,8600868,0,0.688,3394.908
find,3,8716301,0,0.519,3372.015
insert,0,12814737,12814737,0.071,444.045
insert,0,12838809,12838809,0.055,444.255
insert,1,12806145,12806145,0.029,441.813
insert,1,12678856,12678856,0.03,437.296
insert,2,12812927,12812927,0.053,443.288
insert,2,12815733,12815733,0.085,442.92
insert,3,12831726,12831726,0.067,444.325
insert,3,12815190,12815190,0.027,442.651
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,75297,0,6.742,4966.17
find,0,69401,0,5.661,4962.73
find,1,8762649,0,1.849,3370.869
find,1,8724012,0,4.973,3378.13
find,2,8628266,0,2.941,3390.645
find,2,6034952,0,4.764,3871.152
find,3,8600868,0,0.688,3394.908
find,3,8716301,0,0.519,3372.015
insert,0,12814737,12814737,0.071,444.045
insert,0,12838809,12838809,0.055,444.255
insert,1,12806145,12806145,0.029,441.813
insert,1,12678856,12678856,0.03,437.296
insert,2,12812927,12812927,0.053,443.288
insert,2,12815733,12815733,0.085,442.92
insert,3,12831726,12831726,0.067,444.325
insert,3,12815190,12815190,0.027,442.651
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,75297,0,6.742,4966.17
find,0,69401,0,5.661,4962.73
find,1,8762649,0,1.849,3370.869
find,1,8724012,0,4.973,3378.13
find,2,8628266,0,2.941,3390.645
find,2,6034952,0,4.764,3871.152
find,3,8600868,0,0.688,3394.908
find,3,8716301,0,0.519,3372.015
insert,0,12814737,12814737,0.071,444.045
insert,0,12838809,12838809,0.055,444.255
insert,1,12806145,12806145,0.029,441.813
insert,1,12678856,12678856,0.03,437.296
insert,2,12812927,12812927,0.053,443.288
insert,2,12815733,12815733,0.085,442.92
insert,3,12831726,12831726,0.067,444.325
insert,3,12815190,12815190,0.027,442.651
