Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,24608987,0,0.095,5427.818
find,0,139542,0,4.992,9935.923
find,0,140050,0,0.184,9936.154
find,1,24652242,0,0.097,5444.99
find,1,143620,0,0.224,9904.321
find,1,16402689,0,4.685,6959.124
insert,0,25646327,25646327,0.052,885.423
insert,1,25744500,25744500,0.067,887.067
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,24608987,0,0.095,5427.818
find,0,139542,0,4.992,9935.923
find,0,140050,0,0.184,9936.154
find,1,24652242,0,0.097,5444.99
find,1,143620,0,0.224,9904.321
find,1,16402689,0,4.685,6959.124
insert,0,25646327,25646327,0.052,885.423
insert,1,25744500,25744500,0.067,887.067
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,24608987,0,0.095,5427.818
find,0,139542,0,4.992,9935.923
find,0,140050,0,0.184,9936.154
find,1,24652242,0,0.097,5444.99
find,1,143620,0,0.224,9904.321
find,1,16402689,0,4.685,6959.124
insert,0,25646327,25646327,0.052,885.423
insert,1,25744500,25744500,0.067,887.067
