Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,26243168,0,37.251,10108.828
find,1,37181632,0,0.017,6738.794
find,2,15933736,0,0.04,3068.646
find,2,13781391,0,0.021,2653.0
find,2,13006611,0,0.023,2503.372
insert,0,321530,321530,0.491,110.217
insert,0,3097248,3097248,0.105,494.31
insert,1,351030,351030,0.007,93.288
insert,1,322585,322585,0.008,84.947
insert,1,154121,154121,15.968,57.124
insert,2,329973,329973,0.008,75.491
new,0,356866,356866,0.026,122.862
