Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,50815,0.033,216.753,49263.000
find,0,48066,0.048,118.575,49263.000
find,0,35562,0.064,206.899,49263.000
find,1,61457,0.03,194.645,49263.000
find,1,48632,0.029,142.798,49263.000
find,1,44847,0.02,138.813,49263.000
find,2,1422309,0.09,4576.944,49263.000
find,2,1371024,0.046,4051.374,49263.000
find,2,45340,0.011,51.518,49263.000
find,3,1092303,0.259,11107.846,49263.000
find,3,1348708,0.151,13850.194,49263.000
find,3,1404178,0.176,14593.55,49263.000
insert,0,12585,0.083,1.299,49263.000
insert,1,6552,0.037,0.712,49263.000
insert,2,6156,0.058,2.123,49263.000
insert,3,113017,0.041,9.08,49263.000
