Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,20236272,0,26.609,6812.141
find,0,21680291,0,31.93,7669.973
find,1,504206,0,0.018,142.848
find,1,34979712,0,0.026,6324.292
find,2,8559875,0,0.038,1604.902
find,2,11636487,0,0.024,2157.967
insert,0,976530,976530,0.078,194.449
insert,0,214757,214757,0.026,62.898
insert,1,108116,108116,0.017,26.624
insert,1,103009,103009,15.968,40.717
insert,2,198677,198677,0.018,44.945
new,2,8602525,0,0.033,1616.657
