Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,2085369,0.257,22774.943,44747.000
find,0,1951724,0.231,21808.094,44747.000
find,1,2646385,0.003,17.869,44747.000
find,1,57559,0.003,0.615,44747.000
find,1,2452152,0.005,16.586,44747.000
find,1,2584328,0.004,17.506,44747.000
find,2,321716,0.004,2.482,44747.000
find,2,295581,0.003,2.234,44747.000
find,2,2381449,0.003,16.735,44747.000
find,2,2501952,0.004,17.516,44747.000
find,3,352404,0.001,2.644,44747.000
find,3,380349,0.019,2.684,44747.000
find,3,275055,0.003,2.173,44747.000
find,3,386827,0.003,2.835,44747.000
insert,0,762842,0.041,41.067,44747.000
insert,0,337573,0.074,21.287,44747.000
