Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,11839,0.109,63.751,49029.000
find,0,49641,0.098,246.456,49029.000
find,1,119869,0.034,122.997,49029.000
find,1,117187,0.017,110.874,49029.000
find,1,106768,0.016,100.143,49029.000
find,2,2231708,0.048,7909.812,49029.000
find,2,2861701,0.045,10316.886,49029.000
find,2,101823,0.014,102.833,49029.000
find,3,1053495,0.195,11593.963,49029.000
find,3,1075659,0.183,11830.737,49029.000
find,3,607466,0.293,6608.752,49029.000
insert,0,9027,0.037,0.957,49029.000
insert,0,14916,0.053,1.426,49029.000
insert,1,5180,0.031,0.616,49029.000
insert,2,5938,0.043,2.447,49029.000
insert,3,240607,0.035,17.231,49029.000
