Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,4346471,0.136,25565.771,47902.000
find,0,2466803,0.216,14101.355,47902.000
find,0,1274741,0.107,7483.961,47902.000
insert,0,2228330,0.136,157.203,47902.000
insert,1,2946257,0.288,157.059,47902.000
insert,1,3027387,0.041,162.767,47902.000
insert,1,1984594,0.315,110.316,47902.000
insert,1,3036163,0.25,163.784,47902.000
