Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,27198232,0,37.254,9680.139
find,0,148022,0,21.289,94.724
find,1,41123796,0,0.012,7261.071
find,1,38881751,0,0.018,6836.018
find,2,3728161,0,0.027,736.251
find,2,2364457,0,0.021,487.933
insert,0,563945,563945,0.054,94.751
insert,1,41244,41244,0.007,11.459
insert,1,42580,42580,21.289,32.947
insert,2,87061,87061,0.006,20.675
insert,2,97074,97074,0.009,23.449
new,0,91625,91625,0.052,31.339
