Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,30890,0.137,153.945,49161.000
find,1,110875,0.039,266.046,49161.000
find,1,86075,0.031,121.945,49161.000
find,1,99489,0.031,213.936,49161.000
find,2,1596382,0.079,7145.78,49161.000
find,2,26778,0.017,72.05,49161.000
find,2,2111166,0.08,8889.912,49161.000
find,3,1150440,0.26,11015.709,49161.000
find,3,1048209,0.085,9895.212,49161.000
find,3,1214738,0.219,11376.774,49161.000
insert,0,9694,0.048,0.974,49161.000
insert,0,9861,0.041,1.083,49161.000
insert,0,9115,0.037,0.86,49161.000
insert,1,7858,0.045,0.795,49161.000
insert,2,6800,0.027,1.891,49161.000
insert,3,56365,0.031,4.758,49161.000
