Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,42329557,0,0.022,5548.719
find,0,1408938,0,0.032,264.561
find,0,2704951,0,0.017,492.626
find,0,1520581,0,0.036,281.327
find,0,42353890,0,0.021,5601.891
find,0,42850779,0,0.014,5613.872
find,1,2370293,0,0.124,494.927
insert,0,211763,211763,0.012,67.213
insert,1,191977,191977,0.008,56.213
insert,1,609198,609198,0.018,130.027
insert,1,576779,576779,0.018,123.048
insert,1,531032,531032,0.017,116.131
insert,1,217619,217619,0.009,61.89
insert,1,206810,206810,0.009,59.332
