Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,10014691,0.005,66.693,
find,0,6975041,0.005,46.653,
find,0,11476011,0.006,75.476,
find,0,11119240,0.008,73.303,
find,1,12261056,0.006,81.37,
find,1,11669376,0.006,76.706,
find,1,13969273,0.012,92.585,
find,1,16864459,0.007,112.746,
find,2,16557608,0.015,109.943,
find,2,4937421,0.008,33.23,
find,2,22123816,0.012,146.08,
find,2,336145,0.005,2.6,
find,3,16876123,0.008,110.994,
find,3,6535812,0.007,44.407,
find,3,13370755,0.012,87.72,
find,3,19960056,0.007,131.614,
