Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,3743263,0.316,41964.008,42177.000
find,1,2971613,0.006,20.176,42177.000
find,1,2915377,0.005,19.866,42177.000
find,1,4058845,0.005,28.005,42177.000
find,1,3470991,0.004,23.788,42177.000
find,2,3093735,0.004,21.039,42177.000
find,2,411619,0.003,2.994,42177.000
find,2,3643879,0.005,24.61,42177.000
find,2,985389,0.005,6.986,42177.000
find,3,988420,0.005,6.973,42177.000
find,3,1052375,0.002,7.208,42177.000
find,3,931491,0.004,6.753,42177.000
find,3,1328113,0.022,9.758,42177.000
insert,0,98017,0.037,7.948,42177.000
insert,0,209421,0.036,14.481,42177.000
insert,0,141113,0.061,12.651,42177.000
