Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,2030362,0,31.931,858.599
find,0,12071378,0,21.291,4372.303
find,1,17006236,0,0.027,3280.493
find,1,17161300,0,0.033,3298.229
find,1,23539720,0,0.03,4563.731
find,2,9989433,0,0.023,1885.693
find,2,9722856,0,16.072,1842.526
find,2,12982979,0,0.022,2455.49
insert,0,327518,327518,0.055,88.164
insert,1,194446,194446,21.315,76.108
insert,2,171177,171177,21.289,70.331
new,0,26438582,0,0.033,5095.105
