Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,6111,0.001,0.093,49145.000
find,0,7735,0.001,0.141,49145.000
find,0,4828,0.002,0.126,49145.000
find,0,5189,0.001,0.111,49145.000
find,1,119426,0.012,136.08,49145.000
find,1,56843,0.017,114.388,49145.000
find,1,116537,0.029,122.869,49145.000
find,2,2040938,0.118,5951.126,49145.000
find,2,1909818,0.04,6001.135,49145.000
find,2,92728,0.013,74.762,49145.000
find,3,1290917,0.14,13810.141,49145.000
find,3,836961,0.149,9098.262,49145.000
find,3,1306739,0.147,13825.178,49145.000
insert,1,6517,0.075,0.708,49145.000
insert,2,6519,0.053,1.279,49145.000
insert,3,112141,0.068,8.816,49145.000
