Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,22707658,0,37.252,10617.844
find,1,117847,0,15.969,58.311
find,1,17034939,0,26.609,7807.105
find,2,5351730,0,0.022,1313.527
find,2,9196460,0,0.022,2223.171
find,3,7484975,0,0.017,1813.575
find,3,2787018,0,0.021,695.463
insert,0,445070,445070,0.074,93.664
insert,0,84931,84931,0.013,31.899
insert,1,46260,46260,0.005,14.189
insert,1,43807,43807,15.969,29.516
insert,2,88347,88347,0.009,24.307
insert,2,86249,86249,0.01,24.239
insert,3,42148,42148,0.01,10.406
insert,3,39611,39611,21.29,31.236
new,0,17118182,0,37.25,8096.298
