Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,35374662,0,31.93,12631.323
find,1,26430723,0,26.609,9870.886
find,2,6711166,0,0.021,1251.938
find,2,11074864,0,0.027,2039.711
insert,0,1372538,1372538,0.045,220.218
insert,0,176106,176106,0.012,60.085
insert,1,156057,156057,0.007,41.468
insert,1,163995,163995,0.012,42.454
insert,1,83983,83983,26.609,48.771
insert,2,158536,158536,0.016,37.128
insert,2,75819,75819,0.004,17.892
new,0,172954,172954,0.017,58.102
