Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,13943539,0,21.317,4968.799
find,0,14099763,0,31.927,4813.776
find,1,18958910,0,0.026,3279.513
find,1,2492726,0,0.026,550.878
find,1,21384306,0,0.03,3661.739
find,2,13343045,0,0.079,2364.903
find,2,2322044,0,0.022,450.659
insert,0,390257,390257,0.046,77.552
insert,1,190521,190521,21.288,74.981
insert,2,167262,167262,0.026,33.055
insert,2,155267,155267,21.288,50.456
new,0,14575896,0,31.929,5498.33
