Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,11925366,0,31.93,5971.364
find,0,14965198,0,37.253,7246.061
find,1,9223590,0,26.612,4213.337
find,1,18289405,0,0.026,4457.136
find,2,21694355,0,0.029,6064.75
find,2,16301600,0,0.048,4566.304
find,3,4344420,0,0.02,1115.689
find,3,3103238,0,0.02,794.814
find,3,3636909,0,0.035,940.444
insert,0,76566,76566,0.012,30.518
insert,0,257678,257678,0.086,78.723
insert,1,38606,38606,0.007,10.765
insert,1,37352,37352,0.009,10.055
insert,2,75178,75178,0.012,25.022
insert,3,36339,36339,0.012,9.311
new,2,74232,74232,0.006,23.672
