Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,93254467,0,1.76,8416.759
insert,0,9250116,9250116,0.03,1541.946
insert,0,9445830,9445830,0.031,1441.007
insert,0,10723965,10723965,0.051,1619.327
insert,0,7137164,7137164,0.431,1404.869
insert,0,6473814,6473814,0.024,1302.407
insert,0,10028258,10028258,0.031,1560.651
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,93254467,0,1.76,8416.759
insert,0,9250116,9250116,0.03,1541.946
insert,0,9445830,9445830,0.031,1441.007
insert,0,10723965,10723965,0.051,1619.327
insert,0,7137164,7137164,0.431,1404.869
insert,0,6473814,6473814,0.024,1302.407
insert,0,10028258,10028258,0.031,1560.651
