Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,11874531,0,37.252,5949.815
find,0,10277630,0,37.251,5188.493
find,0,9822331,0,37.252,5030.227
find,1,20419571,0,0.01,5151.222
find,1,335505,0,0.022,122.359
find,1,24548072,0,0.022,6178.862
find,2,6686694,0,0.021,1796.065
find,2,6826973,0,0.024,1850.962
find,2,5550984,0,0.022,1509.619
find,3,4326990,0,0.042,1176.0
find,3,1907367,0,0.017,574.219
insert,0,534021,534021,0.279,139.955
insert,1,61201,61201,21.289,39.266
insert,2,60039,60039,0.027,17.237
insert,3,65322,65322,21.29,38.212
new,3,124582,124582,0.006,32.583
