Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,1688634,0.105,18066.781,46939.000
find,0,1274891,0.15,12423.556,46939.000
find,0,1627629,0.198,16373.011,46939.000
find,1,1364552,0.003,9.49,46939.000
find,1,1426175,0.003,9.913,46939.000
find,1,1151055,0.003,8.016,46939.000
find,1,63437,0.001,0.72,46939.000
find,2,464077,0.001,3.383,46939.000
find,2,460870,0.003,3.513,46939.000
find,2,1465734,0.003,9.87,46939.000
find,2,1519567,0.003,10.291,46939.000
find,3,570407,0.004,4.122,46939.000
find,3,449984,0.011,3.227,46939.000
find,3,498201,0.003,3.652,46939.000
find,3,438811,0.019,3.444,46939.000
insert,0,68779,0.084,6.046,46939.000
