Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,57048086,0,0.029,7072.638
find,0,61370021,0,0.022,7517.706
find,0,5864307,0,0.876,1155.027
find,0,696342,0,0.012,248.562
find,1,4779343,0,0.58,951.551
insert,0,294334,294334,0.016,85.894
insert,0,311496,311496,0.011,88.052
insert,0,388939,388939,0.009,129.533
insert,0,374575,374575,0.009,124.172
insert,1,1311076,1311076,0.017,245.293
insert,1,299952,299952,0.028,73.458
insert,1,1384951,1384951,0.017,266.297
insert,1,1410985,1410985,0.017,253.993
insert,1,1161904,1161904,0.017,242.471
insert,1,306497,306497,0.01,73.381
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,57048086,0,0.029,7072.638
find,0,61370021,0,0.022,7517.706
find,0,5864307,0,0.876,1155.027
find,0,696342,0,0.012,248.562
find,1,4779343,0,0.58,951.551
insert,0,294334,294334,0.016,85.894
insert,0,311496,311496,0.011,88.052
insert,0,388939,388939,0.009,129.533
insert,0,374575,374575,0.009,124.172
insert,1,1311076,1311076,0.017,245.293
insert,1,299952,299952,0.028,73.458
insert,1,1384951,1384951,0.017,266.297
insert,1,1410985,1410985,0.017,253.993
insert,1,1161904,1161904,0.017,242.471
insert,1,306497,306497,0.01,73.381
