Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,11642103,0,26.609,5336.498
find,0,16629963,0,37.251,7350.124
find,1,12042385,0,37.25,5426.048
find,2,10011959,0,0.017,2459.377
find,2,8431469,0,0.026,2089.228
find,3,6360257,0,0.026,1561.523
insert,0,1093445,1093445,0.054,248.02
insert,0,203127,203127,0.012,80.353
insert,1,103914,103914,21.289,55.705
insert,1,103368,103368,21.288,56.176
insert,2,178260,178260,0.005,56.601
insert,2,184946,184946,0.018,55.738
insert,3,99126,99126,21.291,47.338
insert,3,89186,89186,15.969,40.144
insert,3,1006846,1006846,0.022,180.678
new,1,14095275,0,37.252,6292.46
