Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,23551305,0,0.083,3539.711
find,0,33415149,0,0.236,5002.843
find,0,32094469,0,0.022,4801.003
find,0,26564501,0,0.018,4002.057
find,1,2601953,0,0.011,539.206
find,1,2820208,0,0.011,577.418
find,1,2822185,0,0.027,576.62
find,1,2615923,0,0.01,546.614
insert,0,260946,260946,0.007,82.678
insert,0,258880,258880,0.013,82.042
insert,0,246560,246560,0.016,77.942
insert,0,229384,229384,0.008,75.522
insert,1,633757,633757,0.008,156.459
insert,1,582276,582276,0.01,145.734
insert,1,638844,638844,0.009,158.646
insert,1,524046,524046,0.007,134.102
