Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,9359150,0,21.324,4824.433
find,0,11464529,0,37.251,6058.489
find,0,8341176,0,21.297,4497.07
find,1,14954001,0,0.01,3573.437
find,1,8600388,0,21.293,3719.735
find,2,12752051,0,0.021,3212.562
find,2,7970788,0,0.017,2031.362
find,2,10485181,0,0.021,2626.965
find,3,8636598,0,0.034,2309.389
insert,0,1086516,1086516,0.048,243.915
insert,1,76665,76665,0.004,18.451
insert,2,76459,76459,21.288,41.564
insert,3,81371,81371,0.011,25.045
insert,3,165435,165435,0.015,50.176
insert,3,81155,81155,15.968,40.626
new,1,356100,0,0.007,121.143
