Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
insert,0,61125930,1.197,2952.45,17950.000
insert,0,45668213,3.352,2218.625,17950.000
insert,0,80957893,1.195,3886.501,17950.000
insert,0,77736439,1.711,3743.224,17950.000
insert,1,32453786,1.209,1564.066,17950.000
insert,1,28153455,0.057,1366.306,17950.000
insert,1,26938641,1.219,1317.173,17950.000
insert,1,18516160,0.02,902.561,17950.000
