Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,28234828,0,37.252,14020.109
find,1,458508,0,21.291,393.026
find,2,19527373,0,1.246,4913.355
find,3,5658618,0,0.031,1569.542
find,3,19555021,0,0.022,4817.43
insert,0,899570,899570,0.242,326.163
insert,0,507761,507761,0.011,194.728
insert,0,581746,581746,0.011,219.872
insert,1,515694,515694,0.008,168.651
insert,1,592318,592318,0.014,191.202
insert,1,276249,276249,21.291,153.731
insert,2,1801898,1801898,0.022,405.349
insert,2,446580,446580,0.014,142.839
insert,2,251621,251621,21.289,196.085
insert,3,1552824,1552824,0.017,360.123
new,3,14374216,0,0.017,3552.676
