Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,1,136263,0.015,185.305,48877.000
find,1,95661,0.029,89.716,48877.000
find,1,108176,0.011,112.393,48877.000
find,2,2529460,0.02,7485.254,48877.000
find,2,3117733,0.047,8935.863,48877.000
find,2,55788,0.013,56.689,48877.000
find,3,1323953,0.116,12673.698,48877.000
find,3,1405270,0.208,13273.304,48877.000
find,3,670837,0.11,6048.901,48877.000
insert,0,19100,0.05,1.343,48877.000
insert,0,18839,0.04,1.306,48877.000
insert,0,7104,0.043,0.786,48877.000
insert,0,24098,0.03,1.699,48877.000
insert,1,6631,0.039,0.819,48877.000
insert,2,5352,0.066,2.258,48877.000
insert,3,109001,0.07,8.583,48877.000
