Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,1860,296,4.998,164.516
genuine,1,1878,309,10.194,201.804
genuine,2,1896,310,7.597,176.033
genuine,3,1986,315,7.594,189.227
genuine,4,1836,301,4.172,163.562
genuine,5,1890,310,9.269,183.024
genuine,6,1902,314,5.148,161.019
genuine,7,1812,297,8.291,178.209
genuine,8,1950,313,8.074,187.826
genuine,9,1764,290,6.351,182.67
genuine,10,1890,308,4.629,168.184
genuine,11,1902,311,6.465,208.249
genuine,12,1854,302,11.237,199.34
genuine,13,1914,315,9.174,164.037
genuine,14,1812,301,7.204,168.032
genuine,15,1884,307,8.601,197.639
genuine,16,1812,296,6.31,156.23
genuine,17,1788,294,4.846,156.119
genuine,18,1866,304,9.602,200.62
genuine,19,1956,320,8.661,206.796
genuine,20,1818,298,10.968,190.498
genuine,21,1902,307,7.842,165.799
genuine,22,1860,304,4.855,171.179
genuine,23,1908,312,8.109,170.034
genuine,24,1830,303,5.745,168.779
genuine,25,1878,309,8.637,179.63
genuine,26,1830,295,6.67,175.945
genuine,27,1806,294,5.674,162.467
genuine,28,1956,318,11.471,206.443
genuine,29,1956,319,6.659,201.755
genuine,30,1944,315,6.203,174.525
genuine,31,1920,314,7.256,179.642
genuine,32,1824,297,7.645,172.861
genuine,33,1926,310,4.395,165.113
genuine,34,1902,308,6.724,183.64
genuine,35,1812,293,7.337,189.91
genuine,36,1878,307,4.497,170.389
genuine,37,1956,316,4.49,175.609
genuine,38,1872,299,2.554,158.65
genuine,39,1920,312,8.644,167.083
genuine,40,1902,314,14.157,205.645
genuine,41,1794,293,9.416,181.938
genuine,42,1860,305,3.989,164.147
genuine,43,1896,305,6.487,168.84
genuine,44,1902,308,6.428,176.155
genuine,45,1812,291,12.497,167.795
genuine,46,1818,291,9.919,191.576
genuine,47,1908,306,11.508,187.609
genuine,48,1830,301,7.074,167.561
genuine,49,1854,298,7.213,177.858
genuine,50,1830,301,7.368,175.722
genuine,51,1794,288,5.088,156.363
genuine,52,1836,297,4.695,165.76
genuine,53,1908,311,7.343,189.391
genuine,54,1824,298,9.99,188.298
genuine,55,1842,295,8.45,188.472
genuine,56,1818,290,8.063,198.331
genuine,57,1812,291,4.57,175.24
genuine,58,1788,282,11.845,161.499
genuine,59,1908,301,4.36,168.403
genuine,60,1842,286,4.201,160.461
genuine,61,1776,279,7.368,170.708
genuine,62,1908,298,15.035,225.469
genuine,63,1812,269,7.618,180.104
malicious,0,11010,11010,9.266,254.167
