Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,87405,0,0.321,6149.515
find,1,84135,0,0.456,6138.223
find,2,53107,0,0.151,3395.063
find,3,112413,0,0.181,7778.795
find,4,31837,0,0.165,1637.062
find,5,34814,0,0.453,2061.904
find,6,75038,0,0.391,4460.614
find,7,102873,0,0.315,6479.827
insert,0,1333,1333,0.001,0.07
insert,1,2089,2089,0.001,0.107
insert,2,1708,1708,0.0,0.083
insert,3,1541,1541,0.002,0.086
insert,4,1156,1156,0.002,0.067
insert,5,1523,1523,0.0,0.081
insert,6,3805,3805,0.001,0.182
insert,7,1470,1470,0.001,0.08
