Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,4842,1603,2.536,3041.375
genuine,1,4695,1558,2.526,2864.731
genuine,2,4947,1643,2.581,3105.949
genuine,3,4662,1547,2.482,2725.798
genuine,4,4992,1662,2.497,3005.767
genuine,5,4674,1552,2.491,2990.208
genuine,6,4890,1626,2.479,3001.802
genuine,7,4365,1450,2.501,2744.357
genuine,8,4704,1559,2.467,2876.372
genuine,9,4905,1627,2.491,2976.36
genuine,10,4746,1575,2.489,2897.44
genuine,11,4602,1527,2.476,2781.993
genuine,12,4974,1650,2.474,3035.0
genuine,13,4461,1481,2.474,2846.22
genuine,14,4374,1452,2.506,2855.718
genuine,15,4923,1633,2.512,3036.984
malicious,0,150244,150244,0.006,9.521
