Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,7120,1410,4.318,737.5
genuine,1,7140,1423,5.833,773.947
genuine,2,7120,1415,6.218,758.414
genuine,3,7140,1416,7.698,757.133
genuine,4,7240,1444,6.259,742.166
genuine,5,7160,1426,7.297,750.634
genuine,6,7280,1450,8.644,747.937
genuine,7,7220,1440,10.389,782.164
genuine,8,7280,1452,5.577,761.239
genuine,9,7200,1432,6.459,711.095
genuine,10,7040,1406,3.91,715.786
genuine,11,7080,1412,5.493,738.135
genuine,12,7200,1437,8.74,750.65
genuine,13,7180,1427,8.254,763.741
genuine,14,7120,1421,7.701,742.28
genuine,15,7180,1422,4.891,747.665
malicious,0,40974,40974,9.413,853.039
