Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,7400,730,7.445,761.411
genuine,1,7360,726,6.97,713.727
genuine,2,7040,701,11.648,708.451
genuine,3,6900,687,7.921,686.95
genuine,4,7060,698,7.009,709.392
genuine,5,7170,712,5.029,687.754
genuine,6,7190,714,7.997,717.166
genuine,7,7140,711,3.921,694.555
genuine,8,7120,707,4.872,704.049
genuine,9,7220,713,4.133,703.836
genuine,10,7220,720,8.494,722.082
genuine,11,7090,701,6.869,688.567
genuine,12,7170,708,13.873,719.175
genuine,13,7150,709,11.922,694.833
genuine,14,7110,703,8.965,714.243
genuine,15,7270,714,5.291,691.543
malicious,0,40296,40296,6.225,808.569
