Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time,Find Total Time,Find Worst Case Time
insert_find,0,5544,2772,1.6,2206.987,2206.442,1.6
insert_find,1,5508,2754,1.606,2212.773,2212.233,1.606
insert_find,2,5662,2831,1.619,2248.398,2247.737,1.619
insert_find,3,5574,2787,1.611,2256.726,2256.123,1.611
insert_find,4,5596,2798,1.588,2248.19,2247.658,1.588
insert_find,5,5562,2781,1.613,2219.007,2218.479,1.613
insert_find,6,5558,2779,1.611,2230.145,2229.605,1.611
insert_find,7,5448,2724,1.598,2180.983,2180.452,1.598
insert_find,8,5498,2749,1.6,2230.094,2229.565,1.6
insert_find,9,5468,2734,1.612,2183.729,2183.206,1.612
insert_find,10,5564,2782,1.608,2236.115,2235.528,1.608
insert_find,11,5632,2816,1.766,2257.006,2256.442,1.766
insert_find,12,5460,2730,1.605,2191.906,2191.389,1.605
insert_find,13,5544,2772,1.624,2213.789,2213.228,1.624
insert_find,14,5558,2779,2.834,2237.362,2236.827,2.834
insert_find,15,5654,2827,1.606,2254.431,2253.762,1.606
