Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,7111,2177,4.858,752.99
genuine,1,6968,2136,10.325,779.729
genuine,2,6994,2146,7.496,759.094
genuine,3,7007,2149,10.622,733.387
genuine,4,6955,2132,8.451,776.148
genuine,5,6929,2128,10.222,752.516
genuine,6,6864,2105,7.716,777.89
genuine,7,6916,2124,7.385,730.688
genuine,8,7033,2155,7.822,776.932
genuine,9,6890,2113,7.919,727.246
genuine,10,6877,2113,7.426,710.743
genuine,11,7085,2176,4.632,726.646
genuine,12,7072,2170,4.02,728.227
genuine,13,7085,2174,12.992,764.265
genuine,14,6916,2120,11.842,776.097
genuine,15,6838,2095,8.014,739.756
malicious,0,40553,40553,7.018,788.714
